idx,kind,digits,truth,answer_nl,correct_nl,answer_code,correct_code,answer_code_exec,correct_code_exec,problem
0,mul,8,869208350739115,8836458891590,0,881669746546665,0,"{'ok': True, 'value': 869208350739115, 'stdout': '869208350739115\n', 'stderr': '', 'retcode': 0, 'timeout': False, 'duration_s': 0.15524077415466309}",1,Compute: 12456355 * 69780313
1,ilp_partition,2,2,0,0,2,1,"{'ok': True, 'value': 2, 'stdout': '2\n', 'stderr': '', 'retcode': 0, 'timeout': False, 'duration_s': 0.11656403541564941}",1,"Partition: Split the items into two groups to minimize the absolute difference between the sums. Return the minimum difference as an integer.
weights = [6, 4, 2, 2]"
2,ilp_partition,2,1,0,0,2,0,"{'ok': True, 'value': 1, 'stdout': '1\n', 'stderr': '', 'retcode': 0, 'timeout': False, 'duration_s': 0.09339118003845215}",1,"Partition: Split the items into two groups to minimize the absolute difference between the sums. Return the minimum difference as an integer.
weights = [6, 1, 2, 2]"
3,rod,2,8,4,0,6,0,"{'ok': False, 'value': None, 'stdout': '', 'stderr': 'Traceback (most recent call last):\n  File ""/tmp/cot_exec_9gsdfomq/main.py"", line 10, in <module>\n    res = rod_cutting(N, P)\n  File ""/tmp/cot_exec_9gsdfomq/main.py"", line 5, in rod_cutting\n    dp[i] = max(dp[i], P[j] + dp[i - j])\nIndexError: list index out of range\n', 'retcode': 1, 'timeout': False, 'duration_s': 0.11662459373474121}",0,"Rod cutting: Given a rod of length N and price list P[1..N], compute the maximum obtainable revenue.
N = 2
P = [4, 2]"
4,mul,32,1974273442988770645481568389591607485206140596767515232972981392,197226211639925355517779683559768,0,197226368439515354517739683519768,0,"{'ok': True, 'value': 1974273442988770645481568389591607485206140596767515232972981392, 'stdout': '1974273442988770645481568389591607485206140596767515232972981392\n', 'stderr': '', 'retcode': 0, 'timeout': False, 'duration_s': 0.09714770317077637}",1,Compute: 40040792927378917879434480352944 * 49306552109731338620698920889243
5,add,32,125604545277261562389014136655113,125604545277261562388984136655115,0,125594555277261562389014136655113,0,"{'ok': True, 'value': 125604545277261562389014136655113, 'stdout': '125604545277261562389014136655113\n', 'stderr': '', 'retcode': 0, 'timeout': False, 'duration_s': 0.09521889686584473}",1,Compute: 87058922990621400841851694887097 + 38545622286640161547162441768016
6,ilp_prod,8,137,-1,0,105,0,"{'ok': True, 'value': 137, 'stdout': 'Welcome to the CBC MILP Solver \nVersion: 2.10.3 \nBuild Date: Dec 15 2019 \n\ncommand line - /mnt/nlpgpu-io1/data/terry/ToolProj/.pixi/envs/default/lib/python3.10/site-packages/pulp/apis/../solverdir/cbc/linux/i64/cbc /tmp/8fb1f9e3f9b44de4b4a3fe6fda64059d-pulp.mps -max -timeMode elapsed -branch -printingOptions all -solution /tmp/8fb1f9e3f9b44de4b4a3fe6fda64059d-pulp.sol (default strategy 1)\nAt line 2 NAME          MODEL\nAt line 3 ROWS\nAt line 9 COLUMNS\nAt line 30 RHS\nAt line 35 BOUNDS\nAt line 40 ENDATA\nProblem MODEL has 4 rows, 4 columns and 16 elements\nCoin0008I MODEL read with 0 errors\nOption for timeMode changed from cpu to elapsed\nPresolve 4 (0) rows, 4 (0) columns and 16 (0) elements\n0  Obj -0 Dual inf 81.5 (4)\n3  Obj 137\nOptimal - objective value 137\nOptimal objective 137 - 3 iterations time 0.002\nOption for printingOptions changed from normal to all\nTotal time (CPU seconds):       0.00   (Wallclock seconds):       0.00\n\n137.0\n', 'stderr': '/mnt/nlpgpu-io1/data/terry/ToolProj/.pixi/envs/default/lib/python3.10/site-packages/pulp/pulp.py:1489: UserWarning: Spaces are not permitted in the name. Converted to \'_\'\n  warnings.warn(""Spaces are not permitted in the name. Converted to \'_\'"")\n', 'retcode': 0, 'timeout': False, 'duration_s': 0.4065990447998047}",1,"Production planning: Choose integer quantities x_j ≥ 0 to maximize total profit sum_j profit[j]*x_j, subject to resource constraints sum_j consumption[i][j]*x_j ≤ capacity[i]. Return the max profit.
profit = [21, 22, 4, 23]
consumption (rows=resources) = [[7, 1, 2, 1], [2, 3, 6, 4], [8, 7, 2, 3], [7, 8, 5, 2]]
capacity = [32, 23, 22, 21]
upper_bounds = [3, 3, 3, 5]"
7,lcs,16,9,7,0,3,0,"{'ok': True, 'value': 9, 'stdout': '9\n', 'stderr': '', 'retcode': 0, 'timeout': False, 'duration_s': 0.08902740478515625}",1,"Compute the length of the Longest Common Subsequence (LCS) between strings:
S = ""dbcbddaacddccabb""
T = ""caddbaaaadadbca"""
8,sub,32,43285291119490097820512520027731,59111136407586287821431910434631,0,592,0,"{'ok': True, 'value': 43285291119490097820512520027731, 'stdout': '43285291119490097820512520027731\n', 'stderr': '', 'retcode': 0, 'timeout': False, 'duration_s': 0.10391736030578613}",1,Compute: 59270993429687410087260574857400 - 15985702310197312266748054829669
9,knap,4,27,22,0,17,0,"{'ok': True, 'value': 27, 'stdout': '27\n', 'stderr': '', 'retcode': 0, 'timeout': False, 'duration_s': 0.09687948226928711}",1,"0/1 Knapsack: Given item weights W and values V and capacity C, compute the maximum total value.
W = [6, 7, 8, 6]
V = [11, 3, 15, 16]
C = 13"
