idx,kind,digits,truth,answer_nl,correct_nl,answer_code,correct_code,answer_code_exec,correct_code_exec,problem
0,sub,16,2196427266728182,2196427267258182,0,2196427266728182,1,"{'ok': True, 'value': 2196427266728182, 'stdout': '2196427266728182\n', 'stderr': '', 'retcode': 0, 'timeout': False, 'duration_s': 0.18292617797851562}",1,Compute: 9454938309536112 - 7258511042807930
1,mul,4,51240510,661878,0,51389910,0,"{'ok': True, 'value': 51240510, 'stdout': '51240510\n', 'stderr': '', 'retcode': 0, 'timeout': False, 'duration_s': 0.10767221450805664}",1,Compute: 8583 * 5970
2,rod,2,3,2,0,3,1,"{'ok': True, 'value': 3, 'stdout': '3\n', 'stderr': '', 'retcode': 0, 'timeout': False, 'duration_s': 0.09754633903503418}",1,"Rod cutting: Given a rod of length N and price list P[1..N], compute the maximum obtainable revenue.
N = 2
P = [1, 3]"
3,knap,32,1700,1000,0,592,0,"{'ok': True, 'value': 1700, 'stdout': '1700\n', 'stderr': '', 'retcode': 0, 'timeout': False, 'duration_s': 0.1154787540435791}",1,"0/1 Knapsack: Given item weights W and values V and capacity C, compute the maximum total value.
W = [62, 22, 51, 36, 19, 35, 57, 49, 22, 4, 58, 39, 55, 53, 54, 56, 50, 23, 49, 25, 25, 10, 60, 42, 30, 50, 10, 37, 14, 16, 50, 3]
V = [54, 104, 117, 101, 65, 21, 61, 102, 26, 74, 116, 74, 65, 112, 119, 62, 89, 83, 60, 89, 6, 65, 31, 124, 83, 77, 14, 10, 69, 101, 104, 46]
C = 583"
4,ilp_partition,8,1,10,0,10,0,"{'ok': True, 'value': 5, 'stdout': '5\n', 'stderr': '', 'retcode': 0, 'timeout': False, 'duration_s': 0.10178971290588379}",0,"Partition: Split the items into two groups to minimize the absolute difference between the sums. Return the minimum difference as an integer.
weights = [9, 22, 12, 7, 22, 6, 14, 3]"
5,add,4,11357,11357,1,11357,1,"{'ok': True, 'value': 11357, 'stdout': '11357\n', 'stderr': '', 'retcode': 0, 'timeout': False, 'duration_s': 0.10216832160949707}",1,Compute: 4886 + 6471
6,ilp_partition,4,0,10,0,0,1,"{'ok': True, 'value': 0, 'stdout': '0\n', 'stderr': '', 'retcode': 0, 'timeout': False, 'duration_s': 0.08856058120727539}",1,"Partition: Split the items into two groups to minimize the absolute difference between the sums. Return the minimum difference as an integer.
weights = [9, 7, 4, 12]"
7,sub,2,14,14,1,14,1,"{'ok': True, 'value': 14, 'stdout': '14\n', 'stderr': '', 'retcode': 0, 'timeout': False, 'duration_s': 0.09771871566772461}",1,Compute: 48 - 34
8,ilp_assign,4,19,,0,39,0,"{'ok': False, 'value': None, 'stdout': '', 'stderr': 'Traceback (most recent call last):\n  File ""/tmp/cot_exec_wmtzo3hs/main.py"", line 5, in <module>\n    min_cost = sum(C[i, j] for i, j in zip(row_ind, col_ind))\n  File ""/tmp/cot_exec_wmtzo3hs/main.py"", line 5, in <genexpr>\n    min_cost = sum(C[i, j] for i, j in zip(row_ind, col_ind))\nTypeError: list indices must be integers or slices, not tuple\n', 'retcode': 1, 'timeout': False, 'duration_s': 1.629760503768921}",0,"Assignment problem: Given an n×n cost matrix C, assign each worker to one task minimizing the total cost. Return the minimum total cost as an integer. 
C = [[10, 3, 12, 5], [12, 12, 6, 1], [12, 12, 11, 5], [8, 8, 3, 11]]"
9,ilp_partition,16,1,10,0,10,0,"{'ok': True, 'value': 13, 'stdout': '13\n', 'stderr': '', 'retcode': 0, 'timeout': False, 'duration_s': 0.10984206199645996}",0,"Partition: Split the items into two groups to minimize the absolute difference between the sums. Return the minimum difference as an integer.
weights = [33, 20, 6, 30, 15, 11, 37, 38, 38, 14, 34, 19, 38, 42, 37, 31]"
10,sub,4,2910,2910,1,2910,1,"{'ok': True, 'value': 2910, 'stdout': '2910\n', 'stderr': '', 'retcode': 0, 'timeout': False, 'duration_s': 0.10388565063476562}",1,Compute: 7548 - 4638
