idx,kind,digits,truth,answer_nl,correct_nl,answer_code,correct_code,answer_code_exec,correct_code_exec,problem
0,mul,8,7008056456815568,70000000000000003517599968,0,7000000000000000000,0,"{'ok': True, 'value': 7008056456815568, 'stdout': '7008056456815568\n', 'stderr': '', 'retcode': 0, 'timeout': False, 'duration_s': 0.14377903938293457}",1,Compute: 76207208 * 91960546
1,ilp_assign,8,22,37,0,10,0,"{'ok': True, 'value': 22, 'stdout': '22\n', 'stderr': '', 'retcode': 0, 'timeout': False, 'duration_s': 1.6530506610870361}",1,"Assignment problem: Given an n×n cost matrix C, assign each worker to one task minimizing the total cost. Return the minimum total cost as an integer. 
C = [[3, 15, 9, 16, 24, 2, 1], [11, 16, 23, 1, 8, 18, 5], [2, 13, 4, 8, 2, 10, 20], [12, 4, 4, 9, 9, 24, 5], [8, 18, 24, 20, 5, 16, 2], [14, 15, 23, 1, 1, 11, 21], [14, 10, 16, 2, 24, 15, 11]]"
2,ilp_partition,16,1,1,1,0,0,"{'ok': True, 'value': 1, 'stdout': '1\n', 'stderr': '', 'retcode': 0, 'timeout': False, 'duration_s': 0.08207273483276367}",1,"Partition: Split the items into two groups to minimize the absolute difference between the sums. Return the minimum difference as an integer.
weights = [47, 45, 14, 11, 33, 23, 27, 33, 16, 19, 42, 28, 46, 37, 26, 42]"
3,lcs,2,2,,0,1,0,"{'ok': True, 'value': 2, 'stdout': '2\n', 'stderr': '', 'retcode': 0, 'timeout': False, 'duration_s': 0.10581374168395996}",1,"Compute the length of the Longest Common Subsequence (LCS) between strings:
S = ""bc""
T = ""bcd"""
4,lcs,32,20,17,0,0,0,"{'ok': True, 'value': 20, 'stdout': '20\n', 'stderr': '', 'retcode': 0, 'timeout': False, 'duration_s': 0.0952293872833252}",1,"Compute the length of the Longest Common Subsequence (LCS) between strings:
S = ""bccbaadbbaddcdcbacbbcdabdcbddbda""
T = ""cacbbaabdadabbabadaaaacbdbdccca"""
5,lcs,16,8,0,0,1,0,"{'ok': True, 'value': 8, 'stdout': '8\n', 'stderr': '', 'retcode': 0, 'timeout': False, 'duration_s': 0.09033441543579102}",1,"Compute the length of the Longest Common Subsequence (LCS) between strings:
S = ""bcbbbbddcacdacbc""
T = ""adcaabadaccbbccd"""
6,lcs,4,2,3,0,1,0,"{'ok': True, 'value': 2, 'stdout': '2\n', 'stderr': '', 'retcode': 0, 'timeout': False, 'duration_s': 0.08399605751037598}",1,"Compute the length of the Longest Common Subsequence (LCS) between strings:
S = ""bacd""
T = ""cba"""
7,rod,8,64,16,0,1,0,"{'ok': True, 'value': 64, 'stdout': '64\n', 'stderr': '', 'retcode': 0, 'timeout': False, 'duration_s': 0.08503866195678711}",1,"Rod cutting: Given a rod of length N and price list P[1..N], compute the maximum obtainable revenue.
N = 8
P = [8, 1, 4, 7, 14, 22, 10, 16]"
8,ilp_partition,16,0,53,0,0,1,"{'ok': True, 'value': 2, 'stdout': '2\n', 'stderr': '', 'retcode': 0, 'timeout': False, 'duration_s': 0.20248723030090332}",0,"Partition: Split the items into two groups to minimize the absolute difference between the sums. Return the minimum difference as an integer.
weights = [26, 42, 38, 28, 39, 16, 34, 12, 12, 45, 22, 21, 13, 42, 1, 19]"
9,knap,32,1654,488,0,1,0,"{'ok': True, 'value': 1654, 'stdout': '1654\n', 'stderr': '', 'retcode': 0, 'timeout': False, 'duration_s': 0.21827244758605957}",1,"0/1 Knapsack: Given item weights W and values V and capacity C, compute the maximum total value.
W = [3, 59, 28, 48, 6, 64, 37, 52, 36, 19, 49, 32, 3, 22, 34, 35, 59, 40, 56, 19, 1, 28, 34, 25, 1, 21, 8, 4, 39, 64, 24, 27]
V = [44, 17, 76, 40, 48, 73, 91, 108, 87, 89, 52, 16, 72, 108, 60, 33, 113, 100, 46, 4, 39, 23, 56, 122, 7, 7, 124, 95, 105, 92, 110, 13]
C = 488"
10,ilp_prod,32,362,345,0,0,0,"{'ok': False, 'value': None, 'stdout': '', 'stderr': 'Traceback (most recent call last):\n  File ""/mnt/nlpgpu-io1/data/terry/ToolProj/.pixi/envs/default/lib/python3.10/site-packages/scipy/optimize/_linprog_util.py"", line 431, in _clean_inputs\n    bounds_conv = np.atleast_2d(np.array(bounds, dtype=float))\nValueError: setting an array element with a sequence. The requested array has an inhomogeneous shape after 2 dimensions. The detected shape was (6, 2) + inhomogeneous part.\n\nThe above exception was the direct cause of the following exception:\n\nTraceback (most recent call last):\n  File ""/tmp/cot_exec_i17cxz7g/main.py"", line 22, in <module>\n    result = linprog(c, A_ub=A, b_ub=b, bounds=x_bounds, method=\'highs\')\n  File ""/mnt/nlpgpu-io1/data/terry/ToolProj/.pixi/envs/default/lib/python3.10/site-packages/scipy/optimize/_linprog.py"", line 649, in linprog\n    lp, solver_options = _parse_linprog(lp, options, meth)\n  File ""/mnt/nlpgpu-io1/data/terry/ToolProj/.pixi/envs/default/lib/python3.10/site-packages/scipy/optimize/_linprog_util.py"", line 1026, in _parse_linprog\n    lp = _clean_inputs(lp._replace(A_ub=A_ub, A_eq=A_eq))\n  File ""/mnt/nlpgpu-io1/data/terry/ToolProj/.pixi/envs/default/lib/python3.10/site-packages/scipy/optimize/_linprog_util.py"", line 433, in _clean_inputs\n    raise ValueError(\nValueError: Invalid input for linprog: unable to interpret bounds, check values and dimensions: setting an array element with a sequence. The requested array has an inhomogeneous shape after 2 dimensions. The detected shape was (6, 2) + inhomogeneous part.\n', 'retcode': 1, 'timeout': False, 'duration_s': 0.40476155281066895}",0,"Production planning: Choose integer quantities x_j ≥ 0 to maximize total profit sum_j profit[j]*x_j, subject to resource constraints sum_j consumption[i][j]*x_j ≤ capacity[i]. Return the max profit.
profit = [88, 38, 20, 34, 74, 13]
consumption (rows=resources) = [[32, 9, 17, 3, 8, 6], [22, 17, 31, 28, 7, 3], [22, 9, 30, 21, 24, 30], [1, 21, 24, 17, 32, 13]]
capacity = [97, 84, 102, 124]
upper_bounds = [3, 4, 3, 3, 3, 3]"
11,sub,32,46284063327858623697753428588035,0,0,46227033327859223657753928587035,0,"{'ok': True, 'value': 46284063327858623697753428588035, 'stdout': '46284063327858623697753428588035\n', 'stderr': '', 'retcode': 0, 'timeout': False, 'duration_s': 0.09841728210449219}",1,Compute: 93331590892230411336968269375003 - 47047527564371787639214840786968
12,ilp_prod,16,168,140,0,0,0,"{'ok': False, 'value': None, 'stdout': '', 'stderr': 'terminate called without an active exception\n', 'retcode': -6, 'timeout': False, 'duration_s': 0.3661379814147949}",0,"Production planning: Choose integer quantities x_j ≥ 0 to maximize total profit sum_j profit[j]*x_j, subject to resource constraints sum_j consumption[i][j]*x_j ≤ capacity[i]. Return the max profit.
profit = [14, 42, 23, 19, 42, 4]
consumption (rows=resources) = [[11, 16, 11, 12, 3, 12], [9, 6, 11, 2, 8, 3], [10, 4, 16, 16, 12, 7], [14, 7, 8, 6, 8, 15]]
capacity = [45, 34, 44, 55]
upper_bounds = [3, 3, 3, 3, 3, 3]"
13,add,2,134,134,1,134,1,"{'ok': True, 'value': 134, 'stdout': '134\n', 'stderr': '', 'retcode': 0, 'timeout': False, 'duration_s': 0.08717846870422363}",1,Compute: 97 + 37
14,knap,8,112,63,0,1,0,"{'ok': True, 'value': 112, 'stdout': '112\n', 'stderr': '', 'retcode': 0, 'timeout': False, 'duration_s': 0.20385479927062988}",1,"0/1 Knapsack: Given item weights W and values V and capacity C, compute the maximum total value.
W = [15, 5, 16, 13, 7, 7, 2, 11]
V = [13, 31, 18, 12, 32, 27, 4, 10]
C = 38"
15,ilp_partition,4,1,1,1,1,1,"{'ok': True, 'value': 0, 'stdout': '0\n', 'stderr': '', 'retcode': 0, 'timeout': False, 'duration_s': 0.0873575210571289}",0,"Partition: Split the items into two groups to minimize the absolute difference between the sums. Return the minimum difference as an integer.
weights = [6, 10, 8, 3]"
16,ilp_prod,32,760,210,0,112,0,"{'ok': False, 'value': None, 'stdout': '', 'stderr': 'terminate called without an active exception\n', 'retcode': -6, 'timeout': False, 'duration_s': 0.37791013717651367}",0,"Production planning: Choose integer quantities x_j ≥ 0 to maximize total profit sum_j profit[j]*x_j, subject to resource constraints sum_j consumption[i][j]*x_j ≤ capacity[i]. Return the max profit.
profit = [3, 95, 3, 51, 61, 24]
consumption (rows=resources) = [[5, 10, 22, 26, 3, 30], [6, 13, 8, 29, 24, 18], [5, 6, 14, 4, 30, 16], [7, 9, 19, 20, 11, 2]]
capacity = [81, 121, 118, 112]
upper_bounds = [10, 8, 3, 3, 3, 3]"
17,lcs,32,19,17,0,0,0,"{'ok': True, 'value': 19, 'stdout': '19\n', 'stderr': '', 'retcode': 0, 'timeout': False, 'duration_s': 0.0936436653137207}",1,"Compute the length of the Longest Common Subsequence (LCS) between strings:
S = ""cddbcddabdabcdbaddbcaaaababdccca""
T = ""bbbcddbadccbacbdccacbcdbdccabcc"""
18,lcs,32,20,16,0,0,0,"{'ok': True, 'value': 20, 'stdout': '20\n', 'stderr': '', 'retcode': 0, 'timeout': False, 'duration_s': 0.09838604927062988}",1,"Compute the length of the Longest Common Subsequence (LCS) between strings:
S = ""cbbadbccbadcdcbbadcccbcacbbbabac""
T = ""baaadacbdbcaccbbccdcadbdacbabba"""
19,mul,32,2439363823747521218717279597714182308571042033437643225257443680,24390000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,0,303631656477,0,"{'ok': False, 'value': None, 'stdout': '', 'stderr': 'no_fenced_code', 'retcode': None, 'timeout': False, 'duration_s': 0.0}",0,Compute: 30363165647717622613158196731040 * 80339574998527416325655743109167
