idx,kind,digits,truth,answer_nl,correct_nl,answer_code,correct_code,answer_code_exec,correct_code_exec,problem
0,knap,2,10,10,1,2,0,"{'ok': True, 'value': 10, 'stdout': '10\n', 'stderr': '', 'retcode': 0, 'timeout': False, 'duration_s': 0.1450645923614502}",1,"0/1 Knapsack: Given item weights W and values V and capacity C, compute the maximum total value.
W = [2, 2, 2]
V = [1, 10, 5]
C = 3"
1,knap,16,362,15,0,129,0,"{'ok': False, 'value': None, 'stdout': '', 'stderr': 'no_fenced_code', 'retcode': None, 'timeout': False, 'duration_s': 0.0}",0,"0/1 Knapsack: Given item weights W and values V and capacity C, compute the maximum total value.
W = [3, 25, 12, 23, 6, 6, 12, 17, 13, 17, 21, 17, 17, 30, 10, 29]
V = [20, 5, 23, 5, 41, 10, 25, 59, 31, 59, 21, 43, 18, 61, 8, 11]
C = 129"
2,ilp_prod,2,16,16,1,1,0,"{'ok': True, 'value': 16, 'stdout': '16\n', 'stderr': '', 'retcode': 0, 'timeout': False, 'duration_s': 0.08148598670959473}",1,"Production planning: Choose integer quantities x_j ≥ 0 to maximize total profit sum_j profit[j]*x_j, subject to resource constraints sum_j consumption[i][j]*x_j ≤ capacity[i]. Return the max profit.
profit = [8, 6]
consumption (rows=resources) = [[3, 3], [2, 3]]
capacity = [7, 7]
upper_bounds = [3, 3]"
3,lcs,4,2,2,1,1,0,"{'ok': True, 'value': 2, 'stdout': '2\n', 'stderr': '', 'retcode': 0, 'timeout': False, 'duration_s': 0.09489750862121582}",1,"Compute the length of the Longest Common Subsequence (LCS) between strings:
S = ""bbdc""
T = ""ccbcd"""
4,lcs,4,1,,0,3,0,"{'ok': False, 'value': None, 'stdout': '', 'stderr': 'no_fenced_code', 'retcode': None, 'timeout': False, 'duration_s': 0.0}",0,"Compute the length of the Longest Common Subsequence (LCS) between strings:
S = ""cbdd""
T = ""aadcc"""
5,knap,16,391,21,0,124,0,"{'ok': False, 'value': None, 'stdout': '', 'stderr': 'no_fenced_code', 'retcode': None, 'timeout': False, 'duration_s': 0.0}",0,"0/1 Knapsack: Given item weights W and values V and capacity C, compute the maximum total value.
W = [22, 1, 6, 7, 28, 23, 29, 22, 25, 24, 8, 9, 21, 2, 12, 9]
V = [3, 44, 25, 6, 53, 8, 40, 50, 7, 22, 46, 10, 53, 7, 57, 46]
C = 124"
6,add,8,85016539,85016539,1,85016539,1,"{'ok': True, 'value': 85016539, 'stdout': '85016539\n', 'stderr': '', 'retcode': 0, 'timeout': False, 'duration_s': 0.09723830223083496}",1,Compute: 34423455 + 50593084
7,lcs,32,18,,0,29,0,"{'ok': False, 'value': None, 'stdout': '', 'stderr': 'no_fenced_code', 'retcode': None, 'timeout': False, 'duration_s': 0.0}",0,"Compute the length of the Longest Common Subsequence (LCS) between strings:
S = ""cbadbabdaadbcddadbbbbadcccbdaaaa""
T = ""cbbbacacbcaacbcdcddaacdddddabbdcb"""
8,ilp_assign,4,17,17,1,0,0,"{'ok': False, 'value': None, 'stdout': '', 'stderr': 'no_fenced_code', 'retcode': None, 'timeout': False, 'duration_s': 0.0}",0,"Assignment problem: Given an n×n cost matrix C, assign each worker to one task minimizing the total cost. Return the minimum total cost as an integer. 
C = [[6, 12, 12, 6], [6, 1, 9, 3], [5, 10, 3, 7], [10, 5, 12, 12]]"
9,mul,32,8450792395772439948816441057342259902716010535647377074813808220,844000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,0,8443069775843043043133934449946332697133433035314512809683711100,0,"{'ok': True, 'value': 8450792395772439948816441057342259902716010535647377074813808220, 'stdout': '8450792395772439948816441057342259902716010535647377074813808220\n', 'stderr': '', 'retcode': 0, 'timeout': False, 'duration_s': 0.09541583061218262}",1,Compute: 98814762467843050782023019496885 * 85521557555962878848044945534572
10,ilp_partition,4,1,1,1,1,1,"{'ok': True, 'value': 1, 'stdout': '1\n', 'stderr': '', 'retcode': 0, 'timeout': False, 'duration_s': 0.08397698402404785}",1,"Partition: Split the items into two groups to minimize the absolute difference between the sums. Return the minimum difference as an integer.
weights = [5, 9, 10, 7]"
