idx,kind,digits,truth,answer_nl,correct_nl,answer_code,correct_code,answer_code_exec,correct_code_exec,problem
0,rod,16,352,,0,,0,"{'ok': False, 'value': None, 'stdout': '', 'stderr': 'no_fenced_code', 'retcode': None, 'timeout': False, 'duration_s': 0.0}",0,"Rod cutting: Given a rod of length N and price list P[1..N], compute the maximum obtainable revenue.
N = 16
P = [22, 37, 4, 6, 33, 34, 17, 9, 17, 22, 28, 8, 48, 26, 45, 1]"
1,sub,4,2175,2175,1,2175,1,"{'ok': True, 'value': 2175, 'stdout': '2175\n', 'stderr': '', 'retcode': 0, 'timeout': False, 'duration_s': 0.17474961280822754}",1,Compute: 9905 - 7730
2,ilp_partition,4,6,6,1,6,1,"{'ok': True, 'value': 3, 'stdout': '3\n', 'stderr': '', 'retcode': 0, 'timeout': False, 'duration_s': 0.1197824478149414}",0,"Partition: Split the items into two groups to minimize the absolute difference between the sums. Return the minimum difference as an integer.
weights = [11, 11, 5, 11]"
3,ilp_assign,16,105,58,0,174,0,"{'ok': False, 'value': None, 'stdout': '', 'stderr': 'no_fenced_code', 'retcode': None, 'timeout': False, 'duration_s': 0.0}",0,"Assignment problem: Given an n×n cost matrix C, assign each worker to one task minimizing the total cost. Return the minimum total cost as an integer. 
C = [[13, 30, 2, 21, 25, 8, 44], [26, 12, 25, 40, 47, 35, 48], [28, 20, 12, 27, 36, 18, 42], [34, 8, 27, 48, 47, 6, 23], [41, 1, 35, 31, 19, 47, 25], [37, 29, 41, 32, 23, 31, 33], [33, 16, 2, 24, 15, 16, 20]]"
4,add,16,7710349994693310,7710350000000000,0,7110350105792510,0,"{'ok': True, 'value': 7710349994693310, 'stdout': '7710349994693310\n', 'stderr': '', 'retcode': 0, 'timeout': False, 'duration_s': 0.09844827651977539}",1,Compute: 1550168928425851 + 6160181066267459
5,sub,4,553,553,1,553,1,"{'ok': False, 'value': None, 'stdout': '', 'stderr': 'no_fenced_code', 'retcode': None, 'timeout': False, 'duration_s': 0.0}",0,Compute: 3573 - 3020
6,sub,16,2793905415068721,295,0,279390541506871,0,"{'ok': True, 'value': 2793905415068721, 'stdout': '2793905415068721\n', 'stderr': '', 'retcode': 0, 'timeout': False, 'duration_s': 0.10567831993103027}",1,Compute: 8928991557295045 - 6135086142226324
7,knap,16,420,142,0,94,0,"{'ok': False, 'value': None, 'stdout': '', 'stderr': 'Traceback (most recent call last):\n  File ""/tmp/cot_exec_9z6jnz4i/main.py"", line 1, in <module>\n    n = len(W)\nNameError: name \'W\' is not defined\n', 'retcode': 1, 'timeout': False, 'duration_s': 0.11469697952270508}",0,"0/1 Knapsack: Given item weights W and values V and capacity C, compute the maximum total value.
W = [28, 23, 15, 8, 27, 32, 6, 30, 20, 2, 22, 31, 8, 20, 7, 24]
V = [6, 24, 40, 24, 44, 62, 29, 49, 44, 2, 48, 44, 58, 27, 59, 54]
C = 151"
8,lcs,4,3,3,1,3,1,"{'ok': True, 'value': 3, 'stdout': '3\n', 'stderr': '', 'retcode': 0, 'timeout': False, 'duration_s': 0.11196708679199219}",1,"Compute the length of the Longest Common Subsequence (LCS) between strings:
S = ""abbd""
T = ""bbbbd"""
9,add,16,17731907340954129,129,0,177449084414387129,0,"{'ok': True, 'value': 17731907340954129, 'stdout': '17731907340954129\n', 'stderr': '', 'retcode': 0, 'timeout': False, 'duration_s': 0.11052250862121582}",1,Compute: 9444754194954687 + 8287153145999442
10,ilp_prod,16,132,3,0,300,0,"{'ok': True, 'value': 194, 'stdout': '194\n', 'stderr': '', 'retcode': 0, 'timeout': False, 'duration_s': 0.12652802467346191}",0,"Production planning: Choose integer quantities x_j ≥ 0 to maximize total profit sum_j profit[j]*x_j, subject to resource constraints sum_j consumption[i][j]*x_j ≤ capacity[i]. Return the max profit.
profit = [22, 30, 42, 3, 34, 16]
consumption (rows=resources) = [[10, 7, 1, 10, 4, 14], [12, 13, 12, 13, 7, 11], [1, 2, 4, 14, 4, 14], [11, 8, 11, 11, 12, 12]]
capacity = [41, 52, 53, 37]
upper_bounds = [3, 4, 3, 3, 3, 3]"
11,rod,2,12,12,1,4,0,"{'ok': True, 'value': 0, 'stdout': '0\n', 'stderr': '', 'retcode': 0, 'timeout': False, 'duration_s': 0.11166048049926758}",0,"Rod cutting: Given a rod of length N and price list P[1..N], compute the maximum obtainable revenue.
N = 2
P = [6, 6]"
12,ilp_prod,2,21,21,1,21,1,"{'ok': False, 'value': None, 'stdout': '', 'stderr': 'no_fenced_code', 'retcode': None, 'timeout': False, 'duration_s': 0.0}",0,"Production planning: Choose integer quantities x_j ≥ 0 to maximize total profit sum_j profit[j]*x_j, subject to resource constraints sum_j consumption[i][j]*x_j ≤ capacity[i]. Return the max profit.
profit = [3, 6]
consumption (rows=resources) = [[1, 1], [1, 3]]
capacity = [10, 7]
upper_bounds = [7, 3]"
13,lcs,32,19,3,0,20,0,"{'ok': True, 'value': 19, 'stdout': '19\n', 'stderr': '', 'retcode': 0, 'timeout': False, 'duration_s': 0.09665274620056152}",1,"Compute the length of the Longest Common Subsequence (LCS) between strings:
S = ""badcccbdabaadabbdccdccbaccbabccd""
T = ""baabdddadcdabbcdbccddccadacddbb"""
14,sub,8,5338410,5337410,0,,0,"{'ok': False, 'value': None, 'stdout': '', 'stderr': 'no_fenced_code', 'retcode': None, 'timeout': False, 'duration_s': 0.0}",0,Compute: 39120586 - 33782176
15,mul,2,406,406,1,406,1,"{'ok': False, 'value': None, 'stdout': '', 'stderr': 'no_fenced_code', 'retcode': None, 'timeout': False, 'duration_s': 0.0}",0,Compute: 29 * 14
