idx,kind,digits,truth,answer_nl,correct_nl,answer_code,correct_code,answer_code_exec,correct_code_exec,problem
0,rod,2,12,12,1,10,0,"{'ok': False, 'value': None, 'stdout': '', 'stderr': 'Traceback (most recent call last):\n  File ""/tmp/cot_exec_pe9bzrr6/main.py"", line 10, in <module>\n    output = f(2, [6, 4])\n  File ""/tmp/cot_exec_pe9bzrr6/main.py"", line 6, in f\n    revenue = P[i] + f(N - i, P)\nIndexError: list index out of range\n', 'retcode': 1, 'timeout': False, 'duration_s': 0.15708422660827637}",0,"Rod cutting: Given a rod of length N and price list P[1..N], compute the maximum obtainable revenue.
N = 2
P = [6, 4]"
1,sub,2,21,21,1,21,1,"{'ok': True, 'value': 21, 'stdout': '21\n', 'stderr': '', 'retcode': 0, 'timeout': False, 'duration_s': 0.11156892776489258}",1,Compute: 60 - 39
2,add,16,6978207684534572,6203582818,0,6978207684534572,1,"{'ok': True, 'value': 6978207684534572, 'stdout': '6978207684534572\n', 'stderr': '', 'retcode': 0, 'timeout': False, 'duration_s': 0.10548138618469238}",1,Compute: 4124873036425021 + 2853334648109551
3,ilp_assign,4,15,Cannot be determined without implementing the Hungarian Algorithm,0,9,0,"{'ok': False, 'value': None, 'stdout': '', 'stderr': 'Traceback (most recent call last):\n  File ""/tmp/cot_exec_x7dtfqm6/main.py"", line 14, in <module>\n    output = f([[8, 1, 5, 12], [10, 10, 10, 7], [11, 3, 3, 9], [4, 1, 4, 9]])\n  File ""/tmp/cot_exec_x7dtfqm6/main.py"", line 12, in f\n    return min_cost\nNameError: name \'min_cost\' is not defined\n', 'retcode': 1, 'timeout': False, 'duration_s': 0.09506106376647949}",0,"Assignment problem: Given an n×n cost matrix C, assign each worker to one task minimizing the total cost. Return the minimum total cost as an integer. 
C = [[8, 1, 5, 12], [10, 10, 10, 7], [11, 3, 3, 9], [4, 1, 4, 9]]"
4,mul,8,4543994144374806,45309999999999998,0,45307935767856766,0,"{'ok': True, 'value': 4543994144374806, 'stdout': '4543994144374806\n', 'stderr': '', 'retcode': 0, 'timeout': False, 'duration_s': 0.10083150863647461}",1,Compute: 46142079 * 98478314
5,rod,16,256,0,0,109,0,"{'ok': True, 'value': 256, 'stdout': '256\n', 'stderr': '', 'retcode': 0, 'timeout': False, 'duration_s': 0.10497331619262695}",1,"Rod cutting: Given a rod of length N and price list P[1..N], compute the maximum obtainable revenue.
N = 16
P = [16, 18, 13, 5, 41, 47, 11, 38, 29, 38, 47, 10, 39, 17, 30, 34]"
6,rod,8,104,0,0,37,0,"{'ok': True, 'value': 104, 'stdout': '104\n', 'stderr': '', 'retcode': 0, 'timeout': False, 'duration_s': 0.11459660530090332}",1,"Rod cutting: Given a rod of length N and price list P[1..N], compute the maximum obtainable revenue.
N = 8
P = [13, 8, 4, 23, 7, 23, 22, 10]"
7,mul,4,26813640,27339640,0,26820440,0,"{'ok': True, 'value': 26813640, 'stdout': '26813640\n', 'stderr': '', 'retcode': 0, 'timeout': False, 'duration_s': 0.09861373901367188}",1,Compute: 3262 * 8220
8,rod,16,432,,0,266,0,"{'ok': True, 'value': 432, 'stdout': '432\n', 'stderr': '', 'retcode': 0, 'timeout': False, 'duration_s': 0.09800338745117188}",1,"Rod cutting: Given a rod of length N and price list P[1..N], compute the maximum obtainable revenue.
N = 16
P = [27, 8, 3, 13, 16, 38, 27, 11, 8, 29, 11, 44, 16, 11, 48, 7]"
9,lcs,8,4,4,1,4,1,"{'ok': True, 'value': 4, 'stdout': '4\n', 'stderr': '', 'retcode': 0, 'timeout': False, 'duration_s': 0.10907196998596191}",1,"Compute the length of the Longest Common Subsequence (LCS) between strings:
S = ""adbbdadc""
T = ""bddcdcacd"""
